class_name,acc,n,mean_confidence,mean_entropy,wilson_center,wilson_half_width,wilson_lcb,wilson_ucb,insufficient_sample_flag,insufficient_reason
book,75.0,4,0.618972547352314,1.3291720747947693,0.6275249948990002,0.3268889424563636,30.06360524426366,95.44139373553637,True,n < 10 and half_width > 0.2
drink,50.0,4,0.5525116473436356,1.6666836142539978,0.5,0.3499642911798285,15.003570882017147,84.99642911798286,True,n < 10 and half_width > 0.2
computer,50.0,4,0.5387047380208969,1.707581251859665,0.5,0.3499642911798285,15.003570882017147,84.99642911798286,True,n < 10 and half_width > 0.2
before,0.0,4,0.445485956966877,1.8725312054157257,0.24495001020199958,0.24495001020199958,0.0,48.990002040399915,True,n < 10 and half_width > 0.2
chair,50.0,2,0.4630548357963562,1.9437126517295837,0.5,0.40547134519913386,9.452865480086615,90.54713451991339,True,n < 10 and half_width > 0.2
go,100.0,2,0.8022972643375397,0.867863804101944,0.6711859764448096,0.32881402355519035,34.23719528896193,100.0,True,n < 10 and half_width > 0.2
clothes,0.0,2,0.32762525230646133,2.238151252269745,0.32881402355519035,0.32881402355519035,0.0,65.76280471103807,True,n < 10 and half_width > 0.2
who,0.0,2,0.2953469604253769,2.3202269077301025,0.32881402355519035,0.32881402355519035,0.0,65.76280471103807,True,n < 10 and half_width > 0.2
candy,0.0,3,0.320793757836024,2.485873540242513,0.28075304022450887,0.28075304022450887,0.0,56.15060804490177,True,n < 10 and half_width > 0.2
cousin,33.333333333333336,3,0.2518141766389211,2.369025150934855,0.42691768007483627,0.36542736479867577,6.14903152761605,79.23450448735122,True,n < 10 and half_width > 0.2
deaf,100.0,2,0.8746741116046906,0.6191092431545258,0.6711859764448096,0.32881402355519035,34.23719528896193,100.0,True,n < 10 and half_width > 0.2
fine,50.0,2,0.7814415991306305,1.0018863379955292,0.5,0.40547134519913386,9.452865480086615,90.54713451991339,True,n < 10 and half_width > 0.2
help,0.0,2,0.3782833516597748,1.9182419180870056,0.32881402355519035,0.32881402355519035,0.0,65.76280471103807,True,n < 10 and half_width > 0.2
no,50.0,2,0.6713406592607498,1.377335548400879,0.5,0.40547134519913386,9.452865480086615,90.54713451991339,True,n < 10 and half_width > 0.2
thin,66.66666666666667,3,0.30404462416966754,2.740211327870687,0.5730823199251637,0.36542736479867577,20.76549551264879,93.85096847238394,True,n < 10 and half_width > 0.2
walk,50.0,2,0.6643518656492233,1.3262810111045837,0.5,0.40547134519913386,9.452865480086615,90.54713451991339,True,n < 10 and half_width > 0.2
year,66.66666666666667,3,0.34307460983594257,2.198689619700114,0.5730823199251637,0.36542736479867577,20.76549551264879,93.85096847238394,True,n < 10 and half_width > 0.2
yes,0.0,2,0.4054723456501961,1.9347248077392578,0.32881402355519035,0.32881402355519035,0.0,65.76280471103807,True,n < 10 and half_width > 0.2
all,66.66666666666667,3,0.5412390430768331,1.6240808169047039,0.5730823199251637,0.36542736479867577,20.76549551264879,93.85096847238394,True,n < 10 and half_width > 0.2
black,0.0,2,0.32851214706897736,2.0350977182388306,0.32881402355519035,0.32881402355519035,0.0,65.76280471103807,True,n < 10 and half_width > 0.2
cool,100.0,2,0.43983830511569977,2.1299644708633423,0.6711859764448096,0.32881402355519035,34.23719528896193,100.0,True,n < 10 and half_width > 0.2
finish,0.0,1,0.32188114523887634,2.4027628898620605,0.39672835426305353,0.39672835426305353,0.0,79.34567085261071,True,n < 10 and half_width > 0.2
hot,50.0,2,0.3886258006095886,2.7011349201202393,0.5,0.40547134519913386,9.452865480086615,90.54713451991339,True,n < 10 and half_width > 0.2
like,0.0,3,0.377431978782018,2.076611797014872,0.28075304022450887,0.28075304022450887,0.0,56.15060804490177,True,n < 10 and half_width > 0.2
many,100.0,2,0.5008115172386169,2.0554412603378296,0.6711859764448096,0.32881402355519035,34.23719528896193,100.0,True,n < 10 and half_width > 0.2
mother,100.0,2,0.3100290447473526,2.439013361930847,0.6711859764448096,0.32881402355519035,34.23719528896193,100.0,True,n < 10 and half_width > 0.2
now,50.0,2,0.2169724851846695,2.661553740501404,0.5,0.40547134519913386,9.452865480086615,90.54713451991339,True,n < 10 and half_width > 0.2
orange,50.0,2,0.3289281949400902,2.531125009059906,0.5,0.40547134519913386,9.452865480086615,90.54713451991339,True,n < 10 and half_width > 0.2
table,66.66666666666667,3,0.5909523268540701,1.331386129061381,0.5730823199251637,0.36542736479867577,20.76549551264879,93.85096847238394,True,n < 10 and half_width > 0.2
thanksgiving,66.66666666666667,3,0.6161651710669199,1.5763842860857646,0.5730823199251637,0.36542736479867577,20.76549551264879,93.85096847238394,True,n < 10 and half_width > 0.2
what,33.333333333333336,3,0.37534533937772113,2.3083832263946533,0.42691768007483627,0.36542736479867577,6.14903152761605,79.23450448735122,True,n < 10 and half_width > 0.2
woman,50.0,2,0.4557128846645355,2.029911994934082,0.5,0.40547134519913386,9.452865480086615,90.54713451991339,True,n < 10 and half_width > 0.2
bed,0.0,1,0.356367290019989,2.142092227935791,0.39672835426305353,0.39672835426305353,0.0,79.34567085261071,True,n < 10 and half_width > 0.2
blue,100.0,1,0.4693732261657715,1.690585970878601,0.6032716457369465,0.39672835426305353,20.654329147389294,100.0,True,n < 10 and half_width > 0.2
bowling,0.0,1,0.5765398144721985,1.5308117866516113,0.39672835426305353,0.39672835426305353,0.0,79.34567085261071,True,n < 10 and half_width > 0.2
can,100.0,2,0.9806690812110901,0.13271960616111755,0.6711859764448096,0.32881402355519035,34.23719528896193,100.0,True,n < 10 and half_width > 0.2
dog,0.0,3,0.22795060773690543,2.895606199900309,0.28075304022450887,0.28075304022450887,0.0,56.15060804490177,True,n < 10 and half_width > 0.2
family,100.0,1,0.6571993231773376,1.2269929647445679,0.6032716457369465,0.39672835426305353,20.654329147389294,100.0,True,n < 10 and half_width > 0.2
