name,type,best_val_top1,test_top1,test_top5,best_epoch,train_time_s,num_params,weights,delta_top1_vs_best_single,delta_top1_vs_equal_ensemble
hybrid,single_model,20.646268229911353,20.649850363403164,45.31851218469431,168.0,2512.0706601142883,515576.0,,-5.643437366395894,-9.410149636596834
tcn,single_model,28.167000285959393,26.293287729799058,58.272766139375804,273.0,4002.768400669098,1909072.0,,0.0,-3.766712270200941
bilstm,single_model,23.21990277380612,22.060709705002136,49.209063702436936,243.0,3532.2718131542206,578428.0,,-4.232578024796922,-7.999290294997863
transformer,single_model,23.877609379468115,22.57374946558358,50.14963659683625,259.0,3966.33167052269,310160.0,,-3.719538264215476,-7.486250534416417
ensemble,ensemble,30.71,29.37152629328773,57.71697306541257,,,,"[0.15, 0.35, 0.15, 0.35]",3.0782385634886715,-0.6884737067122693
