number,value,datetime_start,datetime_complete,duration,params_attn_heads,params_batch_size,params_cnn_channels,params_drop_cls,params_drop_cnn,params_drop_lstm,params_fc_hidden,params_grad_clip,params_label_smoothing,params_lr,params_lstm_hidden,params_lstm_layers,params_weight_decay,state
73,10.323134114955677,2026-03-21 02:20:49.509974,2026-03-21 02:24:16.279993,0 days 00:03:26.770019,8,64,256,0.24824847385500762,0.23194424143275783,0.2675443347893829,256,1.732481010440254,0.12680372779009577,0.0013444294381699624,64,1,2.1314476105766212e-06,COMPLETE
74,4.603946239633972,2026-03-21 02:24:16.298992,2026-03-21 02:26:09.436841,0 days 00:01:53.137849,8,64,256,0.2277841919398519,0.2615114061499958,0.31342105029539546,256,1.4386775491221448,0.16479786292604115,0.004023648805965044,64,1,4.375479881046682e-06,PRUNED
75,0.22876751501286818,2026-03-21 02:26:09.457880,2026-03-21 02:27:11.473601,0 days 00:01:02.015721,8,64,256,0.27073838213040735,0.2742225098055809,0.2950237101132856,256,1.1001577821806452,0.12161137704355746,7.783724519171542e-05,64,1,1.6813084913480982e-06,PRUNED
76,10.151558478696025,2026-03-21 02:27:11.492637,2026-03-21 02:30:38.277129,0 days 00:03:26.784492,8,32,256,0.2392162936554581,0.24842203836453003,0.33008018110061,256,1.3060039273088677,0.09688645757212466,0.0008461298888596893,64,1,0.00031284838484850073,COMPLETE
77,10.551901629968544,2026-03-21 02:30:38.299848,2026-03-21 02:34:06.563445,0 days 00:03:28.263597,8,64,64,0.29222979883330386,0.2167322031675324,0.25723955756649247,256,2.4662269574502145,0.07694030317679161,0.001206266431773627,64,1,1.4979319334796597e-05,COMPLETE
78,3.4601086645696313,2026-03-21 02:34:06.582445,2026-03-21 02:35:40.027638,0 days 00:01:33.445193,4,64,256,0.2912395825057503,0.22102880013719856,0.2240604073800298,256,2.5885194528718913,0.0739214059748461,0.001197097521422162,64,1,4.771137414734146e-05,PRUNED
79,1.4012010294538175,2026-03-21 02:35:40.047209,2026-03-21 02:36:41.774999,0 days 00:01:01.727790,8,64,64,0.33644538597363244,0.23891819263352848,0.2596682328645959,256,2.825130977907644,0.10482213423398645,0.0006422374763088416,64,1,3.103373478899997e-05,PRUNED
80,0.1429796968830426,2026-03-21 02:36:41.794487,2026-03-21 02:37:57.933285,0 days 00:01:16.138798,2,64,256,0.2527459715097657,0.20867222722360773,0.25138398280916074,64,2.284248723025311,0.10961744050622017,0.0015670868648567354,256,2,1.7733608514250613e-05,PRUNED
81,12.067486416928796,2026-03-21 02:37:57.953742,2026-03-21 02:41:23.674929,0 days 00:03:25.721187,8,64,64,0.21049542532930568,0.25538950241336017,0.2878987248799022,256,1.0043871386710508,0.0901219868061025,0.002431247844905316,64,1,7.920686015475777e-06,COMPLETE
82,11.181012296253932,2026-03-21 02:41:23.694510,2026-03-21 02:44:49.446076,0 days 00:03:25.751566,8,64,64,0.23030028847061113,0.23480942021645188,0.28224546948847584,256,2.4376896624679247,0.0800489036027848,0.0011620854312500253,64,1,7.642855701304679e-06,COMPLETE
83,10.26594223620246,2026-03-21 02:44:49.467061,2026-03-21 02:48:14.997069,0 days 00:03:25.530008,8,64,64,0.22791083754697433,0.23305344664949754,0.21559650656703933,256,2.4510507935261927,0.08552114574765694,0.000836875802623526,64,1,1.384133466939555e-05,COMPLETE
84,2.2304832713754648,2026-03-21 02:48:15.017082,2026-03-21 02:49:26.851491,0 days 00:01:11.834409,8,64,64,0.23526280384405876,0.1987815194948648,0.2817466255926413,256,2.189408259372648,0.09127486711290578,0.0025829398668130183,64,1,8.459170031174732e-06,PRUNED
85,10.523305690591936,2026-03-21 02:49:26.871507,2026-03-21 02:52:51.390195,0 days 00:03:24.518688,8,64,64,0.2135276834402682,0.21495330862465314,0.23561985836178284,256,0.9903516633908527,0.08038895976524485,0.0018457624008839395,64,1,6.712772889278435e-06,COMPLETE
86,11.00943665999428,2026-03-21 02:52:51.410204,2026-03-21 02:56:16.602413,0 days 00:03:25.192209,8,64,64,0.2146615111292164,0.1813440018701268,0.23298411664519822,256,2.3504277246985392,0.07832862782892187,0.0031926992946463874,64,1,8.44922219550885e-06,COMPLETE
87,2.2304832713754648,2026-03-21 02:56:16.621414,2026-03-21 02:57:28.860042,0 days 00:01:12.238628,8,64,64,0.2141190878932652,0.17544285371879614,0.10253744231705939,256,2.4475414836205567,0.06549520398835151,0.00403214873858568,64,1,2.453287044171568e-05,PRUNED
88,0.37174721189591076,2026-03-21 02:57:28.879828,2026-03-21 02:58:32.343085,0 days 00:01:03.463257,8,64,64,0.24268539525870075,0.1583911666046085,0.27082505833570863,256,2.5795166092803923,0.07315782030829167,0.003317160554707053,64,3,1.2592612766042747e-05,PRUNED
89,1.486988847583643,2026-03-21 02:58:32.363082,2026-03-21 02:59:34.043698,0 days 00:01:01.680616,8,64,64,0.4365018545659499,0.17395345256883363,0.24204942182684658,256,2.7207212673134125,0.07980948704964838,0.002331311375162623,64,1,9.265947643342981e-06,PRUNED
90,1.2868172719473834,2026-03-21 02:59:34.062698,2026-03-21 03:00:35.384635,0 days 00:01:01.321937,8,64,64,0.2710179757448312,0.1392146097162546,0.1949983895445098,128,2.4427897742704214,0.11169909190897821,0.0014183015988936205,128,1,1.731377610731499e-05,PRUNED
91,12.78238490134401,2026-03-21 03:00:35.405390,2026-03-21 03:04:01.799252,0 days 00:03:26.393862,8,64,64,0.21163554346164548,0.1856983436750943,0.21277464267520696,256,2.4091556157349894,0.08362736242865573,0.001759440086713024,64,1,6.059896118836892e-06,COMPLETE
92,2.459250786388333,2026-03-21 03:04:01.819275,2026-03-21 03:05:23.646893,0 days 00:01:21.827618,8,64,64,0.2114736510133589,0.185629045150716,0.23069186876011058,256,2.517829242407828,0.09458998099992078,0.0030027854713086115,64,1,5.4325811980970285e-06,PRUNED
93,10.952244781241063,2026-03-21 03:05:23.666879,2026-03-21 03:08:49.442329,0 days 00:03:25.775450,8,64,64,0.22477582841199928,0.18347529906492635,0.20807306656052627,256,2.3782904194305545,0.08816370086408402,0.002038762203628769,64,1,4.339080188100241e-06,COMPLETE
